                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.38054,                0.35067,                0.41863,                0.87739,                0.99971,                      1,                  0.995,                0.95408,                0.99971,                      1,                  0.995,                0.98075,                0.30186,                0.35175,                0.36964,                 0.7717,               0.001109,               0.001109,               0.001109
                     48,                0.39396,                0.35823,                0.40633,                0.85861,                0.99877,                      1,                  0.995,                0.97156,                0.99877,                      1,                  0.995,                0.98771,                0.26486,                0.28285,                 0.2992,                0.76347,              0.0010892,              0.0010892,              0.0010892
                     49,                0.43905,                0.43201,                0.47932,                0.88801,                0.99862,                      1,                  0.995,                0.97228,                0.99862,                      1,                  0.995,                0.99268,                0.26561,                0.26149,                0.29448,                0.76098,              0.0010694,              0.0010694,              0.0010694
                     50,                0.39132,                0.36192,                0.39267,                0.85904,                0.99864,                      1,                  0.995,                0.97863,                0.99864,                      1,                  0.995,                0.98341,                0.27564,                0.26387,                 0.2749,                0.76134,              0.0010496,              0.0010496,              0.0010496
                     51,                0.35991,                 0.3443,                0.37989,                 0.8365,                 0.9956,                      1,                  0.995,                0.97253,                 0.9956,                      1,                  0.995,                0.98834,                0.28816,                0.28237,                0.30075,                0.76635,              0.0010298,              0.0010298,              0.0010298
                     52,                0.37236,                0.35384,                0.39326,                0.85259,                      1,                0.99878,                  0.995,                0.97722,                      1,                0.99878,                  0.995,                0.99002,                0.26393,                0.27173,                0.30732,                0.76043,                0.00101,                0.00101,                0.00101
                     53,                0.37542,                0.39227,                0.38032,                0.85091,                0.99519,                      1,                  0.995,                0.98069,                0.99519,                      1,                  0.995,                 0.9893,                 0.2484,                0.26545,                0.31109,                0.75269,              0.0009902,              0.0009902,              0.0009902
                     54,                0.36982,                0.39136,                0.40764,                0.85656,                0.97616,                      1,                0.99296,                0.98508,                0.97616,                      1,                0.99296,                0.99058,                0.24846,                0.27234,                0.32154,                0.75077,              0.0009704,              0.0009704,              0.0009704
                     55,                0.36842,                0.37214,                0.38611,                 0.8409,                0.97723,                      1,                0.99459,                0.97281,                0.97723,                      1,                0.99459,                0.99257,                0.26961,                0.26345,                0.32006,                0.75599,              0.0009506,              0.0009506,              0.0009506
                     56,                0.38819,                0.42801,                0.41153,                0.83305,                0.97934,                      1,                  0.995,                0.97349,                0.97934,                      1,                  0.995,                 0.9864,                0.29071,                0.27847,                0.30508,                0.75908,              0.0009308,              0.0009308,              0.0009308
                     57,                0.37499,                0.37091,                  0.374,                0.85195,                0.97949,                      1,                  0.995,                0.96988,                0.97949,                      1,                  0.995,                0.97754,                0.29559,                0.28606,                0.29945,                0.76131,               0.000911,               0.000911,               0.000911
                     58,                0.41964,                0.39133,                0.39419,                0.87752,                0.99621,                      1,                  0.995,                0.96525,                0.99621,                      1,                  0.995,                0.97941,                0.28781,                0.34298,                0.32546,                0.76017,              0.0008912,              0.0008912,              0.0008912
                     59,                0.37308,                0.42124,                0.37898,                0.85022,                0.99739,                      1,                  0.995,                0.96667,                0.99739,                      1,                  0.995,                0.96218,                0.30311,                0.46157,                0.35529,                0.76698,              0.0008714,              0.0008714,              0.0008714
                     60,                0.37888,                0.41276,                0.36832,                0.85909,                0.99801,                      1,                  0.995,                 0.9713,                0.99801,                      1,                  0.995,                0.98069,                 0.2969,                0.35363,                0.30952,                0.76076,              0.0008516,              0.0008516,              0.0008516
                     61,                0.35494,                0.32619,                0.32627,                0.83761,                 0.9983,                      1,                  0.995,                 0.9661,                 0.9983,                      1,                  0.995,                 0.9852,                0.27718,                0.31871,                0.29612,                0.75544,              0.0008318,              0.0008318,              0.0008318
                     62,                0.33089,                0.40643,                0.33778,                0.85319,                 0.9988,                      1,                  0.995,                0.97002,                 0.9988,                      1,                  0.995,                0.97619,                 0.2548,                0.27989,                 0.2648,                0.75055,               0.000812,               0.000812,               0.000812
                     63,                0.33813,                0.36382,                0.34476,                0.85536,                0.99888,                      1,                  0.995,                0.97363,                0.99888,                      1,                  0.995,                 0.9844,                0.23449,                0.27731,                0.24833,                0.74756,              0.0007922,              0.0007922,              0.0007922
                     64,                0.30207,                0.30827,                0.31046,                0.81953,                0.99883,                      1,                  0.995,                0.97458,                0.99883,                      1,                  0.995,                0.99253,                0.24431,                 0.2749,                0.25417,                0.75775,              0.0007724,              0.0007724,              0.0007724
                     65,                0.33745,                0.31078,                0.31985,                 0.8464,                0.99881,                      1,                  0.995,                0.97687,                0.99881,                      1,                  0.995,                0.98896,                0.24878,                0.27057,                0.25809,                0.76079,              0.0007526,              0.0007526,              0.0007526
                     66,                0.35483,                0.35455,                0.33975,                0.88069,                0.99873,                      1,                  0.995,                0.97776,                0.99873,                      1,                  0.995,                0.98271,                0.24646,                0.25828,                 0.2659,                0.74968,              0.0007328,              0.0007328,              0.0007328
                     67,                0.33252,                0.35029,                0.32017,                0.83485,                0.99855,                      1,                  0.995,                0.97848,                0.99855,                      1,                  0.995,                0.98373,                0.24847,                0.27292,                 0.2979,                0.75302,               0.000713,               0.000713,               0.000713
